"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","WDF5","WSF5"
"USW00013960","32.8519","-96.8555","134.1","1940-04-27","0.00","78","64",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-28","1.58","68","59",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-29","0.00","84","59",,
"USW00013960","32.8519","-96.8555","134.1","1940-04-30","0.00","90","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-01","0.00","74","54",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-02","0.00","82","49",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-03","0.00","92","61",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-04","0.00","90","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-05","0.00","90","64",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-06","0.00","89","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-07","0.00","83","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-08","1.65","74","64",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-09","0.00","74","61",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-10","0.00","79","55",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-11","0.00","85","59",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-12","0.00","88","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-13","0.00","83","64",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-14","0.00","82","63",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-15","0.00","82","54",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-16","0.00","90","64",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-17","1.77","83","70",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-18","0.00","85","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-19","0.00","76","56",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-20","0.00","85","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-21","0.00","88","69",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-22","1.48","77","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-23","0.71","69","53",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-24","0.01","82","52",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-25","0.00","80","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-26","0.08","77","57",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-27","0.15","79","65",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-28","0.59","78","63",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-29","0.00","83","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-30","0.00","85","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-05-31","0.00","82","64",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-01","0.00","86","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-02","0.00","88","68",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-03","0.00","91","65",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-04","0.00","92","67",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-05","0.00","92","66",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-06","0.00","92","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-07","0.00","95","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-08","0.07","94","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-09","0.65","86","67",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-10","0.55","78","63",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-11","0.00","77","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-12","0.11","85","58",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-13","0.00","82","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-14","0.85","83","62",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-15","2.08","83","66",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-16","0.87","83","66",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-17","0.06","86","66",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-18","0.13","82","70",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-19","0.10","88","72",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-20","0.00","89","70",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-21","0.00","90","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-22","0.00","91","73",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-23","0.00","93","72",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-24","0.34","81","63",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-25","0.00","90","59",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-26","0.00","92","67",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-27","0.00","94","74",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-28","0.31","92","72",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-29","0.00","88","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-06-30","0.50","81","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-01","0.06","87","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-02","1.16","84","68",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-03","2.10","81","69",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-04","0.00","83","64",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-05","0.00","85","60",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-06","0.00","88","66",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-07","0.00","89","67",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-08","0.00","90","68",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-09","0.00","93","70",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-10","0.00","96","73",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-11","0.00","96","74",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-12","1.81","84","68",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-13","0.00","85","68",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-14","0.00","90","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-15","0.00","91","70",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-16","0.00","93","71",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-17","0.00","94","72",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-18","0.00","95","75",,
"USW00013960","32.8519","-96.8555","134.1","1940-07-19","0.00","93","77",,
